cup_id,country_id,Place
1930,URU,Winner
1930,PER,Non-Finalist
1930,BOL,Non-Finalist
1930,BEL,Non-Finalist
1930,PAR,Non-Finalist
1930,BRA,Non-Finalist
1930,CHI,Non-Finalist
1930,ROU,Non-Finalist
1930,FRA,Non-Finalist
1930,MEX,Non-Finalist
1930,USA,Third
1930,ARG,Second
1930,YUG,Fourth
1934,USA,Non-Finalist
1934,BRA,Non-Finalist
1934,BEL,Non-Finalist
1934,ARG,Non-Finalist
1934,NED,Non-Finalist
1934,EGY,Non-Finalist
1934,ROU,Non-Finalist
1934,FRA,Non-Finalist
1934,SWE,Non-Finalist
1934,SUI,Non-Finalist
1934,HUN,Non-Finalist
1934,ITA,Winner
1934,GER,Third
1934,AUT,Fourth
1934,TCH,Second
1934,ESP,Non-Finalist
1938,TCH,Non-Finalist
1938,CUB,Non-Finalist
1938,HUN,Second
1938,SWE,Fourth
1938,SUI,Non-Finalist
1938,FRA,Non-Finalist
1938,NED,Non-Finalist
1938,ITA,Winner
1938,INH,Non-Finalist
1938,BEL,Non-Finalist
1938,ROU,Non-Finalist
1938,GER,Non-Finalist
1938,POL,Non-Finalist
1938,BRA,Third
1938,NOR,Non-Finalist
1950,BRA,Second
1950,SWE,Third
1950,ESP,Fourth
1950,SUI,Non-Finalist
1950,URU,Winner
1950,ENG,Non-Finalist
1950,YUG,Non-Finalist
1950,USA,Non-Finalist
1950,ITA,Non-Finalist
1950,MEX,Non-Finalist
1950,CHI,Non-Finalist
1950,PAR,Non-Finalist
1950,BOL,Non-Finalist
1954,ENG,Non-Finalist
1954,MEX,Non-Finalist
1954,KOR,Non-Finalist
1954,BEL,Non-Finalist
1954,TCH,Non-Finalist
1954,HUN,Second
1954,GER,Winner
1954,URU,Fourth
1954,SUI,Non-Finalist
1954,AUT,Third
1954,SCO,Non-Finalist
1954,ITA,Non-Finalist
1954,TUR,Non-Finalist
1954,FRA,Non-Finalist
1954,BRA,Non-Finalist
1954,YUG,Non-Finalist
1958,YUG,Non-Finalist
1958,HUN,Non-Finalist
1958,ARG,Non-Finalist
1958,ENG,Non-Finalist
1958,TCH,Non-Finalist
1958,URS,Non-Finalist
1958,PAR,Non-Finalist
1958,MEX,Non-Finalist
1958,WAL,Non-Finalist
1958,AUT,Non-Finalist
1958,FRA,Third
1958,GER,Fourth
1958,BRA,Winner
1958,SWE,Second
1958,SCO,Non-Finalist
1958,NIR,Non-Finalist
1962,ARG,Non-Finalist
1962,HUN,Non-Finalist
1962,GER,Non-Finalist
1962,ENG,Non-Finalist
1962,ESP,Non-Finalist
1962,MEX,Non-Finalist
1962,ITA,Non-Finalist
1962,URS,Non-Finalist
1962,BRA,Winner
1962,YUG,Fourth
1962,TCH,Second
1962,SUI,Non-Finalist
1962,BUL,Non-Finalist
1962,COL,Non-Finalist
1962,CHI,Third
1962,URU,Non-Finalist
1966,URU,Non-Finalist
1966,ITA,Non-Finalist
1966,ARG,Non-Finalist
1966,FRA,Non-Finalist
1966,BRA,Non-Finalist
1966,ESP,Non-Finalist
1966,HUN,Non-Finalist
1966,PRK,Non-Finalist
1966,BUL,Non-Finalist
1966,CHI,Non-Finalist
1966,POR,Third
1966,MEX,Non-Finalist
1966,SUI,Non-Finalist
1966,ENG,Winner
1966,URS,Fourth
1966,GER,Second
1970,BEL,Non-Finalist
1970,ENG,Non-Finalist
1970,PER,Non-Finalist
1970,MEX,Non-Finalist
1970,MAR,Non-Finalist
1970,TCH,Non-Finalist
1970,SLV,Non-Finalist
1970,ITA,Second
1970,GER,Third
1970,URU,Fourth
1970,BRA,Winner
1970,SWE,Non-Finalist
1970,BUL,Non-Finalist
1970,ISR,Non-Finalist
1970,ROU,Non-Finalist
1970,URS,Non-Finalist
1974,BUL,Non-Finalist
1974,YUG,Non-Finalist
1974,ARG,Non-Finalist
1974,NED,Second
1974,GER,Winner
1974,CHI,Non-Finalist
1974,BRA,Fourth
1974,POL,Third
1974,SCO,Non-Finalist
1974,HAI,Non-Finalist
1974,ITA,Non-Finalist
1974,SWE,Non-Finalist
1974,URU,Non-Finalist
1974,ZAI,Non-Finalist
1974,GDR,Non-Finalist
1974,AUS,Non-Finalist
1978,MEX,Non-Finalist
1978,HUN,Non-Finalist
1978,IRN,Non-Finalist
1978,BRA,Third
1978,NED,Second
1978,ESP,Non-Finalist
1978,FRA,Non-Finalist
1978,TUN,Non-Finalist
1978,POL,Non-Finalist
1978,SCO,Non-Finalist
1978,PER,Non-Finalist
1978,ARG,Winner
1978,GER,Non-Finalist
1978,SWE,Non-Finalist
1978,ITA,Fourth
1978,AUT,Non-Finalist
1982,GER,Second
1982,FRA,Fourth
1982,ITA,Winner
1982,POL,Third
1982,ARG,Non-Finalist
1982,KUW,Non-Finalist
1982,NZL,Non-Finalist
1982,BRA,Non-Finalist
1982,ENG,Non-Finalist
1982,CMR,Non-Finalist
1982,PER,Non-Finalist
1982,ESP,Non-Finalist
1982,SCO,Non-Finalist
1982,AUT,Non-Finalist
1982,NIR,Non-Finalist
1982,HON,Non-Finalist
1982,ALG,Non-Finalist
1982,URS,Non-Finalist
1982,BEL,Non-Finalist
1982,YUG,Non-Finalist
1982,TCH,Non-Finalist
1982,CHI,Non-Finalist
1982,HUN,Non-Finalist
1982,SLV,Non-Finalist
1986,FRA,Third
1986,ARG,Winner
1986,BEL,Fourth
1986,GER,Second
1986,HUN,Non-Finalist
1986,IRQ,Non-Finalist
1986,BUL,Non-Finalist
1986,CAN,Non-Finalist
1986,ESP,Non-Finalist
1986,URS,Non-Finalist
1986,MAR,Non-Finalist
1986,POR,Non-Finalist
1986,PAR,Non-Finalist
1986,DEN,Non-Finalist
1986,ALG,Non-Finalist
1986,URU,Non-Finalist
1986,ITA,Non-Finalist
1986,KOR,Non-Finalist
1986,BRA,Non-Finalist
1986,ENG,Non-Finalist
1986,NIR,Non-Finalist
1986,MEX,Non-Finalist
1986,POL,Non-Finalist
1986,SCO,Non-Finalist
1990,EGY,Non-Finalist
1990,COL,Non-Finalist
1990,ROU,Non-Finalist
1990,SCO,Non-Finalist
1990,TCH,Non-Finalist
1990,YUG,Non-Finalist
1990,USA,Non-Finalist
1990,BRA,Non-Finalist
1990,CRC,Non-Finalist
1990,ARG,Second
1990,ENG,Fourth
1990,GER,Winner
1990,ITA,Third
1990,BEL,Non-Finalist
1990,NED,Non-Finalist
1990,URU,Non-Finalist
1990,CMR,Non-Finalist
1990,URS,Non-Finalist
1990,AUT,Non-Finalist
1990,SWE,Non-Finalist
1990,IRL,Non-Finalist
1990,KOR,Non-Finalist
1990,ESP,Non-Finalist
1990,UAE,Non-Finalist
1994,ESP,Non-Finalist
1994,GER,Non-Finalist
1994,USA,Non-Finalist
1994,COL,Non-Finalist
1994,BEL,Non-Finalist
1994,NOR,Non-Finalist
1994,ARG,Non-Finalist
1994,NED,Non-Finalist
1994,GRE,Non-Finalist
1994,NGA,Non-Finalist
1994,ROU,Non-Finalist
1994,ITA,Second
1994,BUL,Fourth
1994,BRA,Winner
1994,SWE,Third
1994,KOR,Non-Finalist
1994,MEX,Non-Finalist
1994,KSA,Non-Finalist
1994,SUI,Non-Finalist
1994,BOL,Non-Finalist
1994,CMR,Non-Finalist
1994,MAR,Non-Finalist
1994,RUS,Non-Finalist
1994,IRL,Non-Finalist
1998,BRA,Second
1998,MEX,Non-Finalist
1998,DEN,Non-Finalist
1998,BUL,Non-Finalist
1998,AUT,Non-Finalist
1998,NOR,Non-Finalist
1998,NED,Fourth
1998,FRA,Winner
1998,IRN,Non-Finalist
1998,CRO,Third
1998,TUN,Non-Finalist
1998,JAM,Non-Finalist
1998,ARG,Non-Finalist
1998,JPN,Non-Finalist
1998,NGA,Non-Finalist
1998,RSA,Non-Finalist
1998,CHI,Non-Finalist
1998,SCO,Non-Finalist
1998,GER,Non-Finalist
1998,USA,Non-Finalist
1998,ROU,Non-Finalist
1998,MAR,Non-Finalist
1998,ITA,Non-Finalist
1998,CMR,Non-Finalist
1998,PAR,Non-Finalist
1998,KSA,Non-Finalist
1998,ESP,Non-Finalist
1998,KOR,Non-Finalist
1998,ENG,Non-Finalist
1998,COL,Non-Finalist
1998,BEL,Non-Finalist
1998,YUG,Non-Finalist
2002,RSA,Non-Finalist
2002,SWE,Non-Finalist
2002,CMR,Non-Finalist
2002,DEN,Non-Finalist
2002,USA,Non-Finalist
2002,RUS,Non-Finalist
2002,JPN,Non-Finalist
2002,CHN,Non-Finalist
2002,CRO,Non-Finalist
2002,POR,Non-Finalist
2002,URU,Non-Finalist
2002,ESP,Non-Finalist
2002,ENG,Non-Finalist
2002,TUN,Non-Finalist
2002,PAR,Non-Finalist
2002,TUR,Third
2002,GER,Second
2002,BRA,Winner
2002,KOR,Fourth
2002,ARG,Non-Finalist
2002,IRL,Non-Finalist
2002,FRA,Non-Finalist
2002,ITA,Non-Finalist
2002,SEN,Non-Finalist
2002,MEX,Non-Finalist
2002,BEL,Non-Finalist
2002,POL,Non-Finalist
2002,ECU,Non-Finalist
2002,CRC,Non-Finalist
2002,NGA,Non-Finalist
2002,KSA,Non-Finalist
2002,SVN,Non-Finalist
2006,TUN,Non-Finalist
2006,ESP,Non-Finalist
2006,BRA,Non-Finalist
2006,KOR,Non-Finalist
2006,USA,Non-Finalist
2006,AUS,Non-Finalist
2006,ANG,Non-Finalist
2006,SCG,Non-Finalist
2006,ECU,Non-Finalist
2006,TRI,Non-Finalist
2006,ENG,Non-Finalist
2006,POL,Non-Finalist
2006,MEX,Non-Finalist
2006,ARG,Non-Finalist
2006,SUI,Non-Finalist
2006,TOG,Non-Finalist
2006,UKR,Non-Finalist
2006,CRO,Non-Finalist
2006,GHA,Non-Finalist
2006,CIV,Non-Finalist
2006,IRN,Non-Finalist
2006,PAR,Non-Finalist
2006,CRC,Non-Finalist
2006,KSA,Non-Finalist
2006,NED,Non-Finalist
2006,SWE,Non-Finalist
2006,CZE,Non-Finalist
2006,GER,Third
2006,POR,Fourth
2006,ITA,Winner
2006,FRA,Second
2006,JPN,Non-Finalist
2010,GER,Third
2010,URU,Fourth
2010,NED,Second
2010,ESP,Winner
2010,GRE,Non-Finalist
2010,SVN,Non-Finalist
2010,PAR,Non-Finalist
2010,AUS,Non-Finalist
2010,USA,Non-Finalist
2010,NGA,Non-Finalist
2010,MEX,Non-Finalist
2010,CHI,Non-Finalist
2010,POR,Non-Finalist
2010,SVK,Non-Finalist
2010,CMR,Non-Finalist
2010,GHA,Non-Finalist
2010,SUI,Non-Finalist
2010,DEN,Non-Finalist
2010,FRA,Non-Finalist
2010,BRA,Non-Finalist
2010,CIV,Non-Finalist
2010,NZL,Non-Finalist
2010,ITA,Non-Finalist
2010,JPN,Non-Finalist
2010,SRB,Non-Finalist
2010,ALG,Non-Finalist
2010,ENG,Non-Finalist
2010,ARG,Non-Finalist
2010,KOR,Non-Finalist
2010,RSA,Non-Finalist
2010,HON,Non-Finalist
2010,PRK,Non-Finalist
2014,ALG,Non-Finalist
2014,POR,Non-Finalist
2014,MEX,Non-Finalist
2014,ARG,Second
2014,ECU,Non-Finalist
2014,BIH,Non-Finalist
2014,GRE,Non-Finalist
2014,CRC,Non-Finalist
2014,CRO,Non-Finalist
2014,USA,Non-Finalist
2014,KOR,Non-Finalist
2014,NGA,Non-Finalist
2014,HON,Non-Finalist
2014,ITA,Non-Finalist
2014,JPN,Non-Finalist
2014,CMR,Non-Finalist
2014,ESP,Non-Finalist
2014,AUS,Non-Finalist
2014,GHA,Non-Finalist
2014,IRN,Non-Finalist
2014,FRA,Non-Finalist
2014,SUI,Non-Finalist
2014,CIV,Non-Finalist
2014,ENG,Non-Finalist
2014,URU,Non-Finalist
2014,COL,Non-Finalist
2014,CHI,Non-Finalist
2014,BRA,Fourth
2014,NED,Third
2014,GER,Winner
2014,RUS,Non-Finalist
2014,BEL,Non-Finalist
